我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
莉兹在照顾一个 5 岁的小男孩。 他想玩躲猫猫。 她找到了他几次，但随后他就不见了。 她非常恐慌，在房间里到处找他。
马克上班要迟到了。 他超速驾驶，试图及时赶到。 一位交警拦下了他。 他被开了一张超速罚单。
艾米一直想吹长笛。 第一天在乐队里，她就这样告诉老师。 她每周每天都会练习吹长笛。 吹长笛是一件非常难的事情。
布莱恩在给家人买水果。 他把整个过道都看了一遍，但无法决定买哪种水果。 他的妻子讨厌葡萄，他的女儿讨厌苹果。 就连他的儿子也是个挑剔的水果爱好者！
艾米丽带孩子去了动物园。 他们看到了很多动物，包括狮子。 她的孩子很怕狮子。 他开始尖叫哭泣。
金如果在比赛中投篮得分，就可以养只小狗。 她在家天天练习。 放学后，她在体育馆和队友一起练习。 终于到了比赛那天。
凯伦是位垒球运动员。 她的队伍表现不太好。 教练给她们做了一场鼓舞人心的演讲。 人人都开始更勤奋地训练了。
凯拉有近三年没有参加社交活动了。 她饱受严重焦虑的折磨。 她与外界没有交流的时间越久，情况就越困难。 她的哥哥很担心她，带她去看治疗师。
里基在森林中远足时摔倒了。 他吓坏了！ 他以为自己掉到了一片毒藤蔓中。 然后他用自己的自然指南手册来鉴别这种植物。
我的丈夫特别喜欢蓝钟冰淇淋。 不久前，蓝钟被召回并停止生产了。 我的儿子就职于克罗格，他们最近和蓝钟开了一次会。 蓝钟冰淇淋上周到了克罗格。
奥尼从未在观众面前表演过。 但他参加了达人秀，希望能赢得大奖。 他觉得自己会尽到最大的努力。 奥尼在节目中唱了歌，每个人都鼓起了掌。
拉夫讨厌购物。 他妈妈让他去。 他们在那待了很久。 拉夫帮妈妈装卸杂货。
凯拉从姐姐那里借了一本书。 她把书带到了咖啡店去看。 凯拉不小心把自己的香草咖啡洒到了书上一些。 她马上回家告诉姐姐。
连尼想去看电影。 他开车去了当地的好莱坞影城。 连尼租了三部恐怖电影。 连尼去了隔壁，从商店买了一张披萨。
劳拉讲了一个 60 年代烧胸罩的故事。 听众了解到这条个人信息后都疯狂了。 劳拉向观众们保证，这已经是很久前的事情了。 她宣布竞选总统。
查理曾经想在夏威夷当一名警官。 他通过了考试，在檀香山任职。 查理喜欢与社区互动。 查理讨厌队伍中存在的大量腐败。
我有过两条狗，关系很亲密。 老的那条病得很重，被送去安乐死了。 小的那条非常孤独。 我们邻居有条狗过来玩。
肖恩的室友发现他的衣服和床褥开始有异味。 他们叫他赶快清洗。 肖恩一开始不乐意，不过他最后还是都去洗掉了。 肖恩不再难闻了，他的室友们很感激。
我的朋友相当医生，于是她参加了MCAT考试。 她第一次考的时候，成绩不理想。 她努力复习，又考了一次。 这次她发挥上佳！
凯莉来到海边放松。 她一到海边就踩进水里。 可是就在她踩进水里的时候，海浪扑了上来。 她的衣服打湿了。
头一次跟祖父一起去钓鱼，本很兴奋。 可是他觉得把虫子穿到鱼钩上很恶心。 他还不小心被一只鱼钩划破了手指。 本很快就觉得自己不适合钓鱼。
阿米莉亚准备去一家高级意大利餐厅约会。 阿米莉亚的朋友一周之前就帮她定下了这次相亲。 她提前来到餐厅，等待相亲对象。 三十分钟过去了，对方还没来。
妈妈很想让男孩和圣诞老人合影。 孩子吓坏了，他不愿意。 妈妈告诉孩子，圣诞老人会给他礼物。 孩子就愿意了。
斯图尔特尝试在睡觉前做完他最喜欢的事情。 由于过于专心，他忘了添火。 他冷得直抖，只好盖上一堆毯子。 暖和起来了，他心满意足。
安东尼曾想学说西班牙语。 他找到一个在线西班牙语教程，就报了名。 安东尼努力学习，最后掌握了这门语言。 安东尼现在说西班牙语很流利。
艾米下班后去杂货店。 她有几样东西要买。 可是过半的东西都卖完了。 艾米只好去另一家杂货店。
琼妮准备为约会吹干头发。 她找不到吹风机了，很不高兴。 这时，琼妮听到外面传来熟悉的声音。 她看到她兄弟正在用她的吹风机。
科内莉亚决定重新布置她的公寓。 好多年来，她的床一直靠墙放着。 科内莉亚把她的床移到窗边。 她的朋友们都喜欢上了她的新布局。
蒂姆热爱他的摩托车。 他一有机会就骑。 直到上周，他出了事故。 现在他没法骑了。
温蒂找到的第一份工作，是在一家护理院里当护士。 她很喜爱这份工作，并且与住户建立了感情。 她特别喜欢与一位小老太太聊天。 有一天，老太太给她看她的孩子们的照片。
汤姆和杰克去看演唱会。 演出的是他们喜欢的乐队。 他们走进普通观众区。 前面有些很高的人站着，他们什么也看不见。
莱斯特很自豪，他很多年都不用手机。 他觉得自己不像别人那么依赖科技。 可是有一天，他的一个轮胎没气了，这时他就希望自己有个手机了。 他不想再遭遇这种事了。
本的车子需要保养了。 他知道这很贵。 这时他在报纸上看到一张优惠券。 本把优惠券剪下来，带到了修理厂。
我睡醒的时候肚子很饿。 我倒了一碗麦片，但是发现牛奶喝完了。 我先是想用水代替，后来决定还是去一趟商店。 我走到街角，买了半加仑2%乳脂率的牛奶。
安娜有个海水鱼缸。 她在里面只养了珊瑚。 于是她决定再增加点儿鱼。 她买了几条小丑鱼和扳机鱼。
霍莉是只美丽的黑猫，李很喜欢她。 可惜的是，霍莉病得很重，李只好让她安乐死。 李很悲伤，天天都在怀念霍莉。 不久后的一天，一只小黑猫出现在李家的后门。
鲍勃需要一双袜子。 他去了当地的百货商店买袜子。 商店正在大促销。 结果他买了很多好东西。
小雷吉喜欢踢美式橄榄球，也喜欢看比赛。 他最喜欢的球员是跑卫贾马尔·刘易斯。 他和家人在盐湖城机场遇见了他的偶像。 他迎上前对他说，自己也要踢职业橄榄球。
艾拉在地上发现了一只小知更鸟。 她知道它一定是从鸟巢里掉下来的。 她细心地帮它包裹起来，还给它做了个安全的窝。 她还亲手给它喂虫子吃。
我决心辞职。 我写了辞职信。 我悄悄地来到办公室，把信交了上去。 我辞职了。
我把黑色塑料玫瑰放在有水的花瓶里。 我把它放在我书柜顶上几个星期了。 有十个人问起过它。 他们都问我为什么给假花浇水。
本决定去喝杯咖啡。 他用自己的借记卡付了钱。 后来，银行来了电话，说他透支了。 他们说他得付三十美元的费用。
这是克里斯本周第二次转机了。 在机场周围踱步的时候，他决心要利用这段时间。 他在手机里装了一个app，开始练习法语。 机场里的另一位乘客听到了他的声音，开始帮助他
在我还是个孩子的时候，谷歌就首次上线了。 我记得问我爸爸怎么用这个网站。 他教我怎样输入并搜索任何我想搜索的东西。 我开始着迷，每天都坐在桌前玩耍。
杰夫正要升职，他必须接受面试。 他回家后非常努力地学习，记住了答案。 他准备了许多天，直到自己觉得能够应付面试了。 他去接受了面试，并以优异的成绩通过了！
里兹和另外 12 只小狗是一窝出生的。 当它八周大时，一个温馨的家庭收养了它。 他们把它养得很好，它过着非常快乐的生活。 一天，里兹的主人患上了癌症，它的命运发生了变化。
米娅喜欢待在户外。 一年夏天，她决定去爬山。 她加入了一个爬山俱乐部，一起爬山。 他们攀登了她所在地区最高的山峰。
弗雷德的老板把他叫到丙烷加气站的办公室。 他告诉弗雷德，时局艰难，他不得不辞退弗雷德。 对此弗雷德感到非常愤怒。 他抓住老板的衣领，把他推倒在地。
我嫂子正在努力存钱。 她刚刚丧偶，靠退休金生活。 她最近退掉了三个有线电视盒中的两个。 我告诉她，现在广播是高清的，天线非常好用。
维克多总是以品尝新食物而感到自豪。 但是，他从来没有吃过开心果。 有一天，他买了一罐开心果带回家吃。 他喜欢它们的味道。
多年来莎伦一直保存着一袋不知名的种子。 一天，她决定把种子种下。 莎伦觉得它们是小植物，所以把它们种在了花盆里。 莎伦的想法大错特错了！
外面风和日丽。 好天气让艾米莉想出去走走。 她决定去公园。 当艾米莉发现自己的汽车无法启动时，她非常沮丧。
日常生活让汤姆感到厌倦。 所以他决定去隐居。 第一周还好，但他很快把水用完了。 他挣扎了两天，但还是没有找到任何一点水。
蒂姆想学习天文学。 他想飞向外太空。 但是，他年龄太小了，无法做宇航员。 这个消息让他很难过。
我嫂子在生活辅助中心工作。 她是一名女服务员。 她送了我们一本该中心发行的日历。 上面是她为庆祝圣帕特里克节而盛装打扮的照片。
弗雷德决定买一些苹果公司的股票。 他买的时候，股票价格为 90 美元。 幸运的是，他们昨天赚了很多钱。 股票价格随后涨至 100 美元。
珍对自己的县拼字比赛准备工作非常有信心。 过去的一个月里，她每晚都在看字典。 当比赛开始时，珍过关了，其他人都失败了。 到了最后两名展开决赛时，珍的对手搞砸了。
凯莉已经很多年没离开过她的公寓了。 我今天去她家打了个招呼。 我看得出她不愿让我进去。 我们聊了聊她的情况。
艾米莉在沙滩上。 天气开始时很平静。 突然间，狂风大作。 安娜遇上了一场可怕的沙尘暴！
安德鲁从来没有惹过什么麻烦。 他的父母去城外待了一周。 安德鲁的朋友来了，想要喝酒。 所以安德鲁拿出了他父母的藏酒。
埃伦以前住在乡下。 她怀念那些没有电的日子。 一天，一场冰暴导致她城里的家停电了。 她觉得非常冷。
何塞很兴奋。 他刚买了一块新滑板，想试试。 他带着它直接来到了滑板场。 他滑了一整天。
迈克坐在他的办公桌旁。 突然，他感到手臂上有一种奇怪发痒的感觉。 他觉得他的腿也开始发痒。 然后是他的脸。
吉尔上个月去公路旅行了。 她想从波士顿去西雅图。 半路上，她的车抛锚了。 她在路边等了好几个小时，等待 AAA。
校长宣布星期五学校将举行舞会。 舞会让玛丽感到非常兴奋。 她想让丹邀请她参加学校的舞会。 丹在走廊里看到玛丽，告诉她他要和她谈谈。
纽约新开了一家有机大道店，我去看看。 我非常兴奋，因为我以前从来没有去过。 当我走进去时，他们有美味的沙拉和果汁可以尝试。 我尝了夏日沙拉和椰子汁。
辛迪的房间墙壁是白色的。 但她抱怨它们反光很严重。 所以她决定把墙壁涂成蓝色。 她觉得她的房间更能让人平静。
我今年第一次参加了梦幻足球联赛。 我加入了我朋友的队伍，因为他们还需要一个人。 我以前从来没有参加过。 最后我获得了第一名！
海伦早起去上班。 头天晚上下雪了，所以她不得不把车上的雪铲掉。 她花了一个小时时间才将雪清理掉。 当她回到屋里准备时，她听到了一个熟悉的声音。
州篮球锦标赛结束后，记者采访了球队。 丹询问这是现场直播还是录制。 记者告诉他这是现场直播。 丹对着镜头说，他的父亲是他的灵感来源。
杰里米个性鲜明强烈。 他工作不顺利，被解雇了。 他对经理和同事说了一些不好听的话。 从那以后，他发现很难找到工作。
弗兰在海边买了一栋房子。 每天，鹤都来她院子吃虫子。 一天，鹤不再来了。 几个月过去了，鹤仍旧没有出现
我们队今天要参加一场足球比赛。 我们都满腔激动要获得胜利。 比赛前我们来到球场练习。 我们队团结一致，齐心协力。
凯莉讨厌数学课，满怀挣扎去学习数学概念。 她在功课中遇到了很多困难，经常向老师寻求帮助。 她非常努力，获得了好成绩的回报。 秋天她就要去上大学了。
苏菲的奶奶病入膏肓。 苏菲去医院探望她，和她道别。 奶奶把她珍爱的盒式金吊坠送给了苏菲。 她告诉苏菲留着它，以作纪念。
凯利今天有一个新工作的面试。 她十分钟准备完毕，飞快地跑出了门。 她到了那见到面试的女人，她回答了问题。 面试结束后他们告诉她会给她回电话。
唐注意到一只苍蝇飞进了客厅。 他决定打死它。 他尝试了一个半小时，但苍蝇一直躲着他。 最后苍蝇自己飞了出去。
扎克和他的朋友们在上学路上经过了一个恐怖的房子。 有一天他们决定进去看看。 扎克和他的朋友们进了每个房间。 那是个被废弃的老房子。
米娅昨天晚上去了赌场。 刚开始她玩点扑克牌。 在输了很多钱以后，她开始玩老虎机。 当她几乎快没钱的时候，响起了叮叮叮的铃声。
波西亚喜欢在她家附近的树林散步。 但她发现她的运动鞋变得泥泞恶心。 她决定买一双登山靴。 波西亚找到了一双舒适又不贵的登山靴。
安德鲁明天就要结婚了。 他找不到几个月前买的结婚戒指了！ 他找遍了整个房子。 最后他想起来戒指在商店里调尺寸。
特里在工作时发现了两百美金。 他把钱带回了家，但他不知道这么做对不对。 第二天他把钱带回工作并上交了。 一周后没有人认领这笔钱，于是他的老板把钱还给了他。
我喜欢洗很长时间的热水澡。 它们是舒适愉悦的。 只可惜它们是浪费的。 所以我每次洗完都感觉不好。
巴里喜欢打棒球。 巴里决定去看一场职业比赛。 巴里去体育场买了一张票。 进场后巴里决定喝一瓶啤酒。
去年我们家里有果蝇。 我们查找了各种处理方法。 我们试过用碗装红酒。 当这不起作用时，我们买了一个果蝇专用陷阱。
雷米喜欢喝牛奶。 但有天他把牛奶洒在了地毯上。 她不想把洒出来的东西清理干净。 第二天早上，她被一股难闻的味道臭醒了。
西瑟和马库斯为他们的关系走向下一步做好了准备。 他们是幸福的新婚夫妇，但他们想为家庭添一名成员。 虽然还没有准备好要孩子，但他们还是感觉孤单。 他们一时兴起去了一个宠物收容所，爱上了那里的一只猫。
很多人都走路去上学。 他们都想快点到学校。 人们开始把路人推开。 他们摔倒了。
上周六我去了阿塞莉娅的演唱会。  演唱会十分精彩。 我在前排的位置。 演出结束后我去后台见阿塞莉娅。 
埃里克的体重一直超重。 他的新年计划是坚持节食。 一月他去了健身房，吃得也更健康。 这持续了大概一个月。
萨利在学校努力学习。 她的父母认为他们需要激励她。 他们告诉她如果最后一学期她表现得好，她就可以去度假。 萨利夜以继日的学习，希望能做出好的成绩。
小时候我和我的兄弟姐妹需要钱。 我们想出了摆一个卖柠檬水摊位的主意。 我们决定摆在我们房子外面。 几十个人买了我们的柠檬水。
小时候我很喜欢手电筒。 长大后我买了迷你夹扣式电筒。 我把它们夹在我的包上，以便紧急情况时使用。 后来智能手机的出现让人们不再需要电筒。
特里讨厌他的名字。 他想要一个很酷的名字，比如超级地铁火山人。 他告诉妈妈他想改名字。 妈妈向他解释，特里是以他慈爱的祖父的名字命名的。
帕克一家正在寻找新房子。 他们找遍全城也没有找到他们想要的房子。 最后他们找到了一个中意的漂亮房子。 这个房子非常漂亮。
汤姆决定今天开车去他女朋友家。 虽然路上很拥堵，但他还是尽可能开快。 他在房门前按了门铃。 但没有人回答，前门是开着的。
凯利的汽车电池没电了。 她尝试了助推启动，但没有成功。 最后她把车送到了汽车商店。 他们检查后发现电池坏了。
乔用积蓄买了一个滑板。 他把滑板带到公园向他的朋友们炫耀。 他在玩滑板动作时跌倒，摔断了手臂。 他在医院呆了四个小时固定手臂。
麦迪认为是时候去返校购物了。 那时是八月中旬，很快就要开学了。 她查看了她的课程要求和购物清单。 然后她看了所有报纸上的广告，寻找优惠的价格。
尼尔在湖南吃过中国菜。 但人们告诉他更辣的食物在四川省。 出于好奇，他坐火车去了四川。 他点了一份米饭和面条。
我的大部分留校时间都在课堂上睡觉。 我的老师把我叫醒，因为不允许睡觉。 我努力保持清醒，做了一些作业。 当老师把我护送出教室时，我很高兴。
阿曼达在看一只松鼠收集橡子。 阿曼达对松鼠的高效率着了迷。 阿曼达观察松鼠把橡子带到他的窝里。 阿曼达还看到松鼠看管橡子非常警惕。
特里喜欢游泳，但他从未学过如何跳水。 他总是脚先跳进水里。 这个夏天特里想学习如何跳进水里。 他每天都努力练习跳水。
彼得对班级实地考察旅行感到很兴奋。 他期待参观科学博物馆。 那里有很多很棒的展品和交互显示器。 彼得对物理学和太空演示感到着迷。
凯莉去了杉点乐园工作。 在杉点公园工作期间，她遇到了詹姆斯。 凯莉和詹姆斯开始喜欢对方，很快他们开始约会了。 一年后，詹姆斯向凯莉求婚。
琼妮在面试她的第一份工作。 她非常紧张。 她真的很想得到那家冰淇淋店的职位。 她感觉面试进行得很顺利。
安娜是个不辞辛劳的妈妈。 有一天，她跟一家水疗生活馆预约了一个下午的时段。 她做了全身按摩。 她甚至做了水疗。
鲍勃是机械特克的一名工人。 他得到了五十美元的奖金。 鲍勃很高兴，因为这是他得到的最大一笔奖金。 鲍勃戴上眼镜，发现实际上是五美元。
妈妈今晚不想做饭。 我们都很饿。 她让我们自己弄吃的。 今晚晚餐我们吃的是冷麦片粥。
玛丽的家人要在俱乐部共进节日晚餐。 除了玛丽的爷爷外，每个人都要出席。 玛丽为全家人无法聚齐而难过。 一到俱乐部，她就惊讶地看到了她的爷爷！
孩子们听到音乐声时正在里面玩耍。 他们跑到母亲那里，想要一点零花钱。 她递给他们几美元。 他们跑到外面，追上那辆冰淇淋车。
有个周末我们想去海滩。 经过商量，我们不想开车去。 我们开始在网上寻找机票。 买了一张便宜的机票后，我们去了机场。
苏珊醒得很早。 她必须在上班前给动物喂食。 她发现她的兔子怀上了小兔子。 苏珊看到它们很高兴。
我总是尽量准时上床睡觉。 昨晚我迷上了看一个新的电视节目。 不知不觉就已经很晚了。 我本应该在几个小时前就睡着了。
一天早上，霍华德感到很高兴。 他决定花一整天的时间来享受生活。 在一整天的工作中，他都在称赞他的同事们。 回到家，他带着家人去看电影、吃晚饭。
一名男子来到建筑工地干活。 他戴上安全帽，拿起工具，走进工地。 他正走着，一块大砖头掉下来，砸在了他的头上。 那个人被砸晕了，他的同事们跑过去帮助他。
特伦特家开了一间露营用品店。 但特伦特讨厌露营。 每年夏天他父母都要带他去露营。 今年夏天，特伦特负责不让风把火熄灭。
乔治决定买一台电视机。 他找到了一台他想要的很漂亮的电视机，就去买了回来。 几天后，乔治醒来时大吃一惊。 他的电视机被偷了。
汤米 17 岁时曾把头发染成了粉红色。 他认为这是朋克和酷。 他的一些朋友也这么认为。 他的父母认为这很愚蠢。
罗比正在找人帮忙把她的车从雪里铲出来。 她在脸书上发帖，希望有人能看到。 卡梅伦看到了帖子，对罗比和她的车表示同情。 因为今天没有上班，卡梅伦说他可以去帮忙。
罗纳德踢掉鞋子，躺在沙发上打了个盹。 他一醒来，就去穿鞋子。 但他无法系上鞋子，因为鞋带不见了！ 他到处找都找不到。
萨拉得知自己怀孕了。 她熬过了九个月的怀孕期。 一天，她的羊水破了，被送进了医院。 萨拉花了 4 个小时进行分娩。
去年我叔叔买了一个金属探测器。 他每个周末都带它去海滩。 几个月前，他发现了一块劳力士手表。 它值几百美元。
我去旧金山照顾我 5 岁的侄子。 我姐姐鼓励我骑自行车送她的孩子上学。 我害怕骑自行车带着侄子穿过城市。 相反，我们骑车穿过金门公园去了海滩和动物园。
爱丽丝的朋友请她出去吃午饭。 她开车到一家餐馆去见他们。 她的朋友们正等着她的到来，但已经给自己点餐了。 等她的餐上桌时，他们已经吃完了。
我和我的孩子们参观了当地的动物收容所。 我们看了在笼子里的小狗和小猫。 我的女儿们选了一只友善的小狗。 他们和它一起玩，揉它的肚子。
马里奥起床了。 今天是他结婚的日子，他已经感到忐忑不安了。 他高兴地刮了胡子，洗了个澡。 他穿好衣服去了教堂。
齐克厌倦了在美国生活。 他决定搬去科苏梅尔。 他去了科苏梅尔海滩，买了些地。 齐克决定在那块土地上盖一座房子。
凯莉想加入海军。 她向征兵人员询问了此事。 他建议她填写一份申请表。 她填好表格，提交了。
吉娜在她新学校的午餐厅里。 整个学校她只认识两个人。 两人都不在这间餐厅。 她拿了食物就出去了。
今天我们坐飞机去了。 飞机很大，我很害怕。 当我们上飞机时，妈妈告诉我这会很有趣。 飞机发出很大的噪音，但这不算太糟糕。
亚当需要一顶新棒球帽。 他在网上看了不同的帽子。 他挑选了一顶完美的帽子并下单订购了。 他很兴奋地收到了帽子。
泰德和贝丝正在筹划一场婚礼。 他们注意到他们可能没有足够的钱来支付婚礼的费用。 泰德要求他的父母帮忙支付费用，他们同意了。 贝丝跟她的父母也提出了同样的要求，也得到了一些额外的钱。
辛迪起床了。 但是她找不到她的拖鞋。 她没有做早餐，而是一整天都在找拖鞋。 她放弃了，又订购了一双。
尼尔刚到巴黎。 他迫不及待地想感受那里所有的文化！ 他第一天去看艺术作品。 他在一天之内参观了三个博物馆！
杰西卡正准备从大学毕业。     她在学校非常努力，并认为她应该得到奖励。 她爸爸知道杰西卡想要一次假期。 在她毕业那天，杰西卡的爸爸用一张门票给了她一个惊喜。
蒂姆对他所有的裤子而言都太高了。 他找不到一件合适的穿去公园之旅的套装！ 一切都让他的腿看起来太长，而且很蠢。 然后他决定把他的牛仔裤剪成短裤。
桑迪买了一张新床。 在送货员到达前，她需要打扫一下她的房间。 她还需要处理掉她的旧床。 她的朋友吉姆想要她的旧床。
在大学里，我遇到一些糟糕的教授。 他们不知道怎么教学生。 所以，我学着自己教自己。 我不去上课，而是去图书馆，就是这样。
蒂米认识这个和他一起上学的可爱女孩。 一天他跟踪她回家。 在他跟踪她时，她在一个拐角处停了下来。 蒂米意识到他被抓住了，不知道该做什么。
尼尔正在访问埃及。 他旅行去看大金字塔。 他敬畏地仰望着它们。 它们是如此巨大和华丽！
珍带着头发上的漂白剂睡着了。 她只打算把它放置5分钟左右，而不是接近一个小时。 当她把它冲洗掉后，她的头发变白了，还带着一丝蓝色。 她很惊慌，但她妈妈说他们可以解决这个问题。
道格很伤心，今天是平安夜却没有雪。 道格只想要一个白色的圣诞节。 他向上帝祈祷下雪，然后去睡了。 当他第二天早晨醒来时，房间里充满了光。
谢里尔的工作是一名博物馆馆长。 她的家人告诉她她的工作很无聊。 她试图告诉他们，她跟留存的历史一起工作。 她试图告诉他们，他们在办公室的工作比这糟糕得多。
乔在床上翻身时伸了个懒腰。 他的时钟显示现在是上午10点。 他惊慌地跳下床。 他的闹钟没有响。
内德的妻子说他在睡梦中悄悄过世了。 他的妻子告诉她所有的朋友们，她不知道他生病了。 她发誓这是她见过最奇怪的事情。 警察不相信她的说法并逮捕了她。
今天杰基被送进了医院。 她的宝宝马上就要出生了。 她的丈夫从工作中赶来安慰她。 经过48小时的分娩，她的宝宝出生了。
我家想要一只宠物。 我们在星期六去了宠物商店。 我们看到很多狗和小猫。 我们爱上了一只可爱的黑色小猫。
乔的姐姐总是把她的考试成绩贴在冰箱上。 她一直都得A。 乔从来没有得过A。 因此，当他带着一个拼写作业得到的A回家时，他很骄傲。
亚当和安吉尔想搬出去，找一个属于他们自己的地方。 他们花了几周在网上寻找公寓。 他们找到一些他们非常喜欢的公寓。 他们去看了他们选中的公寓。
格丽塔10岁了。 她想开一个生日派对。 格丽塔在学校分发了派对的邀请函。 当派对的那天到来时，没有人出现。
莎莉很担心。 明天是她的婚礼，这是一场户外仪式。 但是天气预报说会下雨！ 谢天谢地，婚礼当天最终是晴天，阳光灿烂。
艾米很兴奋，因为现在是平安夜。 她一整年都表现很好。 她把她最喜欢的玩具清单给了商场里的圣诞老人。 他告诉她，她会收到她想要的所有东西。
安娜整个夏天都在照看她的园子。 她去外面收获。 她所有的水果和蔬菜都做好了准备！ 她一个接一个地采摘。
金把她的牙刷掉进了马桶。 想到要把手伸进去把它拿出来，她觉得很恶心。 她从抽屉里拿出一把剪刀。 每次她拿着牙刷时，都会把它丢掉。
汉娜的父母给她报名了钢琴课。 在她的第一节钢琴课后，汉娜觉得很丧气。 她尽可能地努力练习。 汉娜没法让她的手指正常工作。
凯拉找到了一个她认为是守门员的男人。 他有一份很好的工作，令人印象深刻的房子，并为他们所有的约会付钱。 约会了几个月，凯拉开始计划她的婚纱。 然后他打了她，因为她烧焦了晚餐。
牧羊人打开了羊圈的门。 他派他的狗去牧场聚拢羊群。 狗把羊群赶向门口。 羊群一起进了羊圈。
自从他的妻子去世后，沃尔特一直很孤独。 他在宾果游戏中遇到一位友善的女士，并跟她成为了朋友。 但他为他已故的妻子可能会有的想法而感到内疚。 沃尔特做了一个栩栩如生的梦，梦中他已故的妻子安慰了他。
玛丽娜走过图书馆。 她低下脸，避开向她的脸袭来的刺骨的风。 突然一棵风滚草狠狠砸在玛丽娜腿上。 她低头看向自己的腿，但变得迷惑起来。
昨天我玩了强力球游戏。 我从我们家的圣经中挑选了我的数字。 我从一个有信誉的在线彩票代理购买了彩票。 当中奖数字被抽出时，我紧张地祈祷着。
艾米参加了一个高级植物生物学课程。 她下周有一个关于光合作用的考试。 这些信息复杂而深奥。 她写了一首关于它的歌，以便更容易记住这些材料。
从大学毕业后，我对开始工作感到很紧张。 在我开始工作的前一周，我几乎无法入睡。 那一天，我感到恶心和紧张。 然而，我父母发来的祝贺短信让我振作了起来。
7岁的本去他的朋友迈克家玩。 迈克问候了本，然后他们去迈克的房间玩耍。 首先，他们玩了很长时间迈克的四旋翼飞行器。 然后，他们玩了一些卡车。
一位服务员很想回家，但他还有一桌客人在用餐。 服务员把账单打印出来，把它悄悄放在桌子上。 客人们过了一会儿注意到了这张账单，明白了这个暗示。 他们付了账单然后离开了。
凯要搬回去和她妈妈一起住。 她伤心地收拾好东西，开车去了她妈妈家。 她妈妈帮她打开汽车。 但没有足够的地方存放凯的东西。
女孩们决定相聚吃晚饭。 她们也带了家人。 不幸的是，他们打了起来。 工作人员不得不把她们赶了出去。
维尼一直希望能见到一位现实生活中的电影明星。 他的朋友们告诉他很难见到电影明星。 然而，他并没有放弃希望。 一天，维尼看见丹泽尔·华盛顿出去散步。
我七岁的时候，我和一些朋友去游泳。 我不知道如何在深水中游泳。 我不小心滑进了游泳池的深处。 我以为我要被淹死了！
史密斯一家找不到他们的猫了。 他们担心她跑到外面迷路了。 他们坐在圣诞树前，每个人都很伤心。 然后他们注意到她从最高处的树枝上在往下看。
弗洛拉没有马上去上大学，而是出国了。 她去了许多欧洲国家，见了许多人。 当她该回家时，她决定要留在西班牙。 她找了一份家庭教师的工作，经历了许多大冒险。
乔伊斯一周前买了些水果。 这是她新年决心的一部分，她要变得更健康。 几天后她就忘了。 最终一股难闻的气味充满了她的公寓。
一天下午，泰德和他的一些朋友去了湖边。 泰德的朋友们一直叫他和他们一起下水。 泰德不会游泳。 泰德觉得没有比这更好的学习时机了，所以他跳了进去。
我约莎拉出去约会。 她答应了。 我很期待我们的约会。 我们先去吃饭，然后去看电影。
一天，我和我的朋友们去了动物园。 我听说动物园里有树懒，我一直想看看它们。 我们参观了几乎所有的展区，但没有看到任何树懒。 我们终于在最后一个展区中找到了树懒。
一位科学家发现有一种疾病开始传播。 他在实验室里研究这种疾病的治疗方法。 其他科学家聚集在一起帮助他完成工作。 几周过去了，他们成功找到了治疗方法。
特洛伊去萨姆家玩。 男孩们玩积木、卡车和泰迪熊。 他们还涂上颜料，玩手指画。 萨姆的爸爸给他们做了一份苹果和焦糖酱点心。
伊冯总是超重。 她下定决心在新年开始锻炼。 她开始每天慢跑。 两个月内她瘦了23磅。
英蒂安想试试冰咖啡。 英蒂安决定自己在家做冰咖啡。 英蒂安在饮料机里准备了咖啡。 然后，英蒂安拿起牛奶和冰块放在了饮料里。
贝琪想要一只小狗，但她妈妈不同意。 贝琪非常伤心和失望，因为她真的想要一只宠物。 一天，她走进她的房间，发现笼子里有只仓鼠。 她妈妈最后还是给她买了只宠物！
莫林一直想成为一名生物老师。 她努力学习，想成为一名生物学专家。 她的朋友告诉她，生物学对她来说太难了。 然而，她一直坚持到拿到学位。
科妮莉亚一直喜欢用她的双手工作。 她决定试着自己做张桌子。 她参加了木工课程，学习如何做桌子。 学完课程后，科妮莉亚做了张漂亮的桌子。
孩子们去了墓地。 他们来到一个带着锁链的墓前。 有些锁链已经断了。 他们怕了，就跑了。
波和吉姆想开快车。 他们把车开到犹他州的盐滩。 波跳上他的野马，吉姆跳上他的科尔维特。 他们比赛了七英里。
今天萨莉去远足了。 她喜欢在树林里散步。 她看见巢里有只美丽的知更鸟。 萨莉喜欢知更鸟。
乔伊的男朋友带她去打推杆。 他不知道她从小就在打高尔夫球。 她在比赛中一杆进三洞。 她以18分的优势击败了他！
我侄子是一位专业厨师。 在我们家里做饭时，他决定露一手。 我们从背后录下了他切洋葱的过程。 我们很惊讶他切得那么快却没有切到手。
妹妹发现她要有个弟弟了。 她很高兴，发现自己不再是小孩了。 然后她开始表演。 她在墙上涂色。
